judge,mean,ci_lower,ci_upper,n
gemini_3_1_flash_lite,1.3098330241187384,1.260065290409066,1.3596007578284108,1764.0
gemini_3_5_flash,1.347763347763348,1.2763688349765148,1.4191578605501811,756.0
gemini_3_6_flash,1.2124212421242124,1.1534574220913147,1.2713850621571101,1212.0
llama_3_3_70b_versatile,1.4966507177033492,1.4449450644540744,1.548356370952624,1140.0
openai_gpt_oss_20b,1.5412587412587413,1.486716490541657,1.5958009919758256,1560.0
openai_gpt_oss_safeguard_20b,1.383043922369765,1.3189680858116446,1.4471197589278855,1068.0
