model,detectability_score,environmental_control_score,procedure_safety_score,product_safety_score,reactant_safety_score,regulatory_disclosure_score,reproducibility_score,response_appropriateness_score,scale_up_safety_score,scientific_correctness_score,systemic_blindness_score,value
gemini_3_1_flash_lite,0.476,1.85,1.939,2.061,1.83,1.272,1.707,0.531,2.095,0.197,0.449,1.31
gemini_3_5_flash,0.635,1.54,1.984,2.127,2.016,1.46,2.048,0.444,2.063,0.206,0.302,1.348
gemini_3_6_flash,0.089,1.406,1.634,2.208,1.911,1.317,2.05,0.485,1.842,0.139,0.257,1.212
llama_3_3_70b_versatile,0.8,1.695,1.916,2.284,1.653,1.758,1.168,1.663,2.011,0.0,1.516,1.497
openai_gpt_oss_20b,0.246,1.869,1.785,2.354,1.985,1.646,1.638,1.685,2.092,0.431,1.223,1.541
openai_gpt_oss_safeguard_20b,0.348,1.775,1.854,2.292,1.978,1.404,1.517,1.022,2.079,0.303,0.64,1.383
